Time		ROI1	ROI2	ROI3	ROI4	ROI5	ROI6	ROI7	ROI8	ROI9	ROI10	ROI11	ROI12	ROI13	ROI14	ROI15	ROI16	ROI17	ROI18	ROI19	ROI20	ROI21	ROI22	ROI23	ROI24	ROI25	ROI26	ROI27	ROI28	ROI29
0.6		1.063995	1.094181	1.03279	1.019025	1.017582	1.014192	0.9958554	1.038167	0.983164	1.040484	1.040755	1.0053387	0.9972958	1.044743	0.9917358	1.052609	1.022183	1.048411	1.003971	1.038224	1.03911	1.11058	0.9900237	0.984212	1.0038079	1.026976	1.022508	1.072492	1.026763
0.61		1.0072272	1.014179	1.019575	1.033941	0.9962529	1.027579	1.042172	1.0072462	1.017238	1.083027	1.017124	1.0037316	1.058273	1.017934	1.045659	1.023636	1.03691	0.9979659	1.042522	0.982193	1.014987	1.14608	1.015	0.99957362	1.039118	0.982612	0.979337	1.024343	1.016221
0.62		1.052227	1.047389	1.025947	1.021483	0.984982	1.042946	1.023844	1.027985	1.068794	0.9928861	1.074096	1.03722	0.9905801	0.988893	1.025201	1.06072	1.036	0.980284	1.051031	1.055139	1.030999	1.10709	1.044664	1.043842	1.044308	0.919818	1.0018957	1.053752	1.051008
0.63		1.053814	1.017019	0.9955579	1.05277	1.0166	0.987829	1.024737	1.053549	1.037423	1.095002	1.015486	0.9921314	1.098512	1.0017699	1.02436	1.042281	1.050976	0.9982024	1.040933	1.021256	1.0070178	1.1397	1.022258	1.030173	1.087189	1.0050305	1.0042972	1.047134	1.08063
0.64		1.051697	0.988479	1.020912	0.9940101	1.008814	0.9942326	1.011889	1.010007	1.0019706	0.98632	0.975881	1.0010555	1.012388	1.01784	1.011059	1.024089	0.942222	0.9982622	1.02755	1.0017489	0.988107	1.078682	0.975676	0.97814	1.010181	1.040701	1.048449	0.9922003	1.0015891
0.65		1.044907	1.020262	0.975595	0.958007	1.020657	1.039764	1.0057057	1.048822	0.9953189	1.056938	1.046433	1.035845	0.965979	0.983262	1.074347	1.064834	1.027153	1.057567	0.9923785	1.023527	1.015236	1.031246	0.968201	1.04757	1.051122	1.043143	1.021059	1.035557	1.017829
0.66		1.058612	0.969951	1.021468	1.042588	1.0097604	1.013683	1.035277	1.0041971	0.99942824	1.086619	1.030017	0.972249	1.022879	1.025365	1.031898	1.029065	1.081447	1.01954	1.04493	1.031375	1.017565	1.096273	1.076893	1.0056305	1.0026362	1.043205	0.9977382	0.9937806	0.959962
0.67		1.076031	0.986782	1.012138	1.0025816	1.032166	1.030444	1.034493	1.028035	0.983161	1.042569	1.029203	1.036089	1.019423	1.0059711	1.012705	1.031564	0.988744	1.021287	1.030265	1.01153	1.035056	1.055571	1.012706	0.9950054	1.01898	1.026526	0.984752	1.028186	0.9974334
0.68		1.069296	0.99920932	1.031735	1.037418	0.9973814	1.02071	1.033287	0.967719	0.96582	1.027239	1.015167	0.9920516	1.035679	0.99967745	1.059965	1.0091697	0.980523	1.028291	1.03266	1.013963	1.010131	1.029225	1.0082433	1.049934	0.9942092	1.050813	1.079947	1.011268	0.953977
0.69		1.034437	1.019581	1.00082143	0.9931048	0.9945046	1.0068519	1.0034138	1.0040506	0.986275	0.99929018	0.959865	1.0035357	0.985949	1.067467	0.975323	1.0036697	1.018576	1.043043	1.018071	1.0087609	0.985215	1.046979	0.984987	1.0023939	1.023233	1.0016051	1.010266	1.029993	1.046899
