Time	ROI1	ROI2	ROI3	ROI4	ROI5	ROI6	ROI7	ROI8	ROI9	ROI10	ROI11	ROI12	ROI13	ROI14	ROI15
1.49	1.0091353	1.024136	1.023492	1.0027651	0.9944468	0.9987044	0.9974694	1.10043	0.977106	1.14065	0.978754	0.984577	1.029122	1.066618	1.058744
1.5	1.027611	1.019282	1.027139	1.0069977	1.06867	1.042871	1.047319	1.087946	1.033497	1.014694	1.065913	1.021306	1.05059	0.95447	0.985121
1.51	1.0041727	1.020981	1.036635	1.011537	1.01603	1.043193	1.0037582	1.0026059	1.036363	1.0037423	1.072244	1.016471	1.02728	1.031251	1.027206
1.52	1.0067668	1.045668	1.014989	1.0037253	1.01471	0.9976255	1.082692	1.021825	0.974451	1.059482	0.9987566	1.06161	1.058312	0.969917	1.000012836
1.53	1.035408	1.042948	1.0087056	1.0095973	1.098399	1.01042	1.073012	1.047945	1.023536	0.960689	1.023985	1.02909	1.066015	1.063689	0.978991
1.54	1.0016135	1.024474	1.00018305	0.9972954	1.00036183	1.041997	1.00069039	1.030573	1.0068072	1.021373	0.967546	1.039868	1.055229	1.03067	1.052307
1.55	1.021028	1.02411	1.019726	1.009311	1.0099588	1.094491	0.980746	0.979202	0.9920896	0.9968857	1.054194	0.9956621	1.041561	1.049993	1.075919
1.56	1.0044148	1.023279	0.987173	1.0054056	0.9967484	1.056387	1.03351	1.068449	1.060009	0.936011	1.02222	0.963426	1.044494	1.0076778	1.025553
1.57	1.0027613	1.011251	1.037863	0.99979937	1.053128	1.03439	0.983753	1.02777	1.043237	1.064917	1.035738	0.986923	1.046246	1.093035	1.03695
1.58	0.9938757	0.9955165	1.017534	1.0069926	1.044759	1.036021	0.982724	1.011996	0.955032	1.089364	1.017684	0.949277	1.017497	0.97547	0.9925892
1.59	0.9921904	1.032884	1.0063311	0.99916245	0.978684	1.016239	1.035325	0.9983945	1.01059	1.06812	1.021265	1.043525	1.027488	1.021039	0.985951
1.6	1.016205	1.017391	1.0026051	1.00047103	0.9940071	1.04081	1.069716	1.020369	1.028274	0.93505	1.020685	1.027738	1.065586	0.980192	0.966623
1.61	0.989959	0.9933621	1.0096358	1.011155	1.034457	0.990557	1.0032716	0.985526	0.9958296	1.016544	1.049554	1.031303	1.054482	1.051877	1.05659
1.62	1.0063599	1.017199	0.987246	0.982251	1.04146	1.026792	1.043639	1.0085238	1.023929	1.017034	1.0047559	1.018706	1.0013739	1.10236	1.014153
1.63	1.0015204	1.03301	0.988312	1.0057724	1.002736	0.9975124	0.9921121	0.985495	1.01076	0.989396	1.050692	1.02126	1.083058	1.020935	0.95984
