Time	ROI1	ROI2	ROI3	ROI4	ROI5	ROI6	ROI7	ROI8	ROI9	ROI10	ROI11	ROI12	ROI13	ROI14	ROI15	ROI16
1.3	1.022196	1.018689	1.049968	1.056602	1.026043	1.039587	0.967317	0.986057	1.053407	1.089178	1.087082	1.036216	1.029887	1.036573	0.9984171	0.9953379
1.31	1.00037735	1.0078945	1.042539	1.03631	1.044396	1.060774	1.032171	1.0034793	1.015842	0.9934142	1.049643	1.0012006	1.031009	1.019027	1.047487	1.022976
1.32	1.025109	0.967486	0.981177	0.989847	0.969638	1.0027711	1.0088703	1.063847	1.062344	1.009181	1.050088	1.020575	0.950762	1.026067	1.016398	1.0015753
1.33	1.0018815	0.987649	1.03189	1.054997	0.951167	1.028958	1.097831	1.0084578	1.03902	1.030677	1.010255	0.976853	1.072496	1.019455	1.021962	1.017461
1.34	1.0015184	1.0070513	1.040466	1.020464	1.025189	0.9918854	1.091918	1.067628	1.0021369	0.981246	1.093848	0.986474	1.011063	1.014743	1.017274	1.028003
1.35	1.020147	1.0015797	1.0053612	0.9947431	1.016903	1.027402	1.019105	1.060492	0.994064	1.030973	1.068245	0.974006	1.023835	1.030639	1.0043842	0.981391
1.36	0.9971493	0.988477	1.006406	1.027725	1.029941	0.963019	1.026725	1.041813	1.035644	1.039472	1.04771	1.041237	1.034523	1.030407	0.9965525	1.079596
1.37	0.9983953	1.027646	1.04423	1.0025239	1.0053577	1.018485	1.029959	1.0096389	0.9972392	0.988419	1.011448	0.9929299	0.959144	1.057443	0.96952	1.092359
1.38	0.987771	1.009406	1.023861	1.070726	1.060385	1.026787	1.031126	1.05888	1.029229	0.9909256	1.014981	1.034064	1.042349	1.012812	1.063157	0.979402
1.39	1.018962	1.0087686	0.937714	1.023051	1.013994	1.028822	1.02866	0.9936743	1.064303	0.966726	0.9901631	0.969547	1.012447	1.030852	1.026487	0.961744
1.4	0.9915421	1.043584	1.074482	0.9937662	0.981776	1.0388	1.031133	0.984324	1.023714	1.018558	1.053711	1.00063871	1.006042	1.031829	0.9909475	1.025832
1.41	0.98038	1.0043096	1.020033	0.946164	1.016298	1.026657	1.088361	0.951252	1.073964	1.027616	1.019003	0.9947917	0.982575	1.059731	1.0533	1.049808
1.42	1.0067199	0.9929514	1.025344	0.988774	1.032948	1.04437	1.036073	0.9901407	1.00042418	1.043559	1.077294	1.032269	1.033329	1.011403	1.011289	0.991883
1.43	0.981615	0.981321	1.040272	1.020024	1.024361	1.071618	1.034906	1.03022	1.069013	0.9956126	1.031256	1.0097651	1.042816	1.034807	1.00014467	1.00057292
1.44	1.025167	1.0073035	1.049801	0.985552	1.039067	1.015657	1.018412	1.0070584	1.019081	1.0078553	0.9920528	0.9905098	1.031263	1.036739	1.022249	1.034247
1.45	1.0036457	1.010975	1.021463	1.040263	1.062166	1.041357	1.065987	1.03004	1.035057	1.065409	1.043087	1.064882	1.054667	1.051796	0.979426	1.04274
1.46	1.033823	1.0082362	1.053376	1.045207	1.012103	1.083148	1.046933	1.018589	1.052082	0.9970497	1.05195	0.954073	1.031089	1.049225	1.038155	1.0051927
1.47	1.014167	1.015228	0.9964793	0.963335	1.043667	1.078005	1.025845	1.014333	1.059229	1.031266	1.0094408	1.041737	0.983127	1.054231	1.03395	0.9923522
1.48	1.014444	0.9927638	1.014162	1.00043734	0.974726	0.985358	0.957148	1.014504	1.029512	1.042129	1.015704	1.010351	1.014461	1.064034	1.038336	1.085668
1.49	1.048114	0.982522	1.05762	1.033874	1.051537	1.069038	1.065653	1.020246	1.015196	1.0084421	0.9905197	1.015301	1.034499	1.033771	1.0405	1.089796
1.5	0.9968111	1.035865	1.052635	1.017364	1.033717	1.070448	1.04834	1.065325	1.0086252	1.044814	1.070875	1.015654	1.0457	1.0044967	1.066732	1.062361
1.51	1.012641	0.9988546	1.0097503	0.985245	1.022695	0.9915739	1.039144	1.022742	1.042998	1.053574	1.014368	1.009856	1.066695	1.000001219	1.027357	1.048428
1.52	1.01134	1.020637	1.078587	1.056865	1.016732	1.022679	1.065564	1.059952	1.0036619	1.032124	1.036402	0.9903123	1.049506	1.026871	1.084827	1.055251
1.53	1.007302	1.00032057	1.015484	1.030785	1.036916	1.019433	1.02692	1.042601	1.024703	0.9917876	1.0069647	1.046855	1.0061693	1.06969	1.038392	1.0768
1.54	1.006041	1.017559	1.011929	1.029	1.037204	1.071652	1.042201	1.020377	0.9988199	1.013284	0.9964682	1.014402	1.0057879	1.0075805	1.0096658	1.0014677
